state,statename,year
AK,Alaska,1959
AL,Alabama,1819
AR,Arkansas,1836
AZ,Arizona,1912
CA,California,1850
CO,Colorado,1876
CT,Connecticut,1788
DE,Delaware,1787
FL,Florida,1845
GA,Georgia,1788
HI,Hawaii,1959
IA,Iowa,1846
ID,Idaho,1890
IL,Illinois,1818
IN,Indiana,1816
KS,Kansas,1861
KY,Kentucky,1792
LA,Louisiana,1812
MA,Massachusetts,1788
MD,Maryland,1788
ME,Maine,1820
MI,Michigan,1837
MN,Minnesota,1858
MO,Missouri,1821
MS,Mississippi,1817
MT,Montana,1889
NC,North Carolina,1789
ND,North Dakota,1889
NE,Nebraska,1867
NH,New Hampshire,1788
NJ,New Jersey,1787
NM,New Mexico,1912
NV,Nevada,1864
NY,New York,1788
OH,Ohio,1803
OK,Oklahoma,1907
OR,Oregon,1859
PA,Pennsylvania,1787
RI,Rhode Island,1790
SC,South Carolina,1788
SD,South Dakota,1889
TN,Tennessee,1796
TX,Texas,1845
UT,Utah,1896
VA,Virginia,1788
VT,Vermont,1791
WA,Washington,1889
WI,Wisconsin,1848
WV,West Virginia,1863
WY,Wyoming,1890
,,
,,
